[2023-02-23 10:53:27,207] multiqc                                            [DEBUG  ]  This is MultiQC v1.14
[2023-02-23 10:53:52,504] multiqc                                            [DEBUG  ]  Command used: /athena/angsd/scratch/mef3005/share/envs/multiqc/bin/multiqc /athena/angsd/scratch/xil4009/SMG6_RNA_SEQ/fastq_trimmed/fastqc/SRR16684375_trimmed_fastqc/ /athena/angsd/scratch/xil4009/SMG6_RNA_SEQ/fastq_trimmed/fastqc/SRR16684376_trimmed_fastqc/ /athena/angsd/scratch/xil4009/SMG6_RNA_SEQ/fastq_trimmed/fastqc/SRR16684377_trimmed_fastqc/ /athena/angsd/scratch/xil4009/SMG6_RNA_SEQ/fastq_trimmed/fastqc/SRR16684378_trimmed_fastqc/ /athena/angsd/scratch/xil4009/SMG6_RNA_SEQ/fastq_trimmed/fastqc/SRR16684379_trimmed_fastqc/ /athena/angsd/scratch/xil4009/SMG6_RNA_SEQ/fastq_trimmed/fastqc/SRR16684380_trimmed_fastqc/ /athena/angsd/scratch/xil4009/SMG6_RNA_SEQ/fastq_trimmed/fastqc/SRR16684381_trimmed_fastqc/ /athena/angsd/scratch/xil4009/SMG6_RNA_SEQ/fastq_trimmed/fastqc/SRR16684382_trimmed_fastqc/ /athena/angsd/scratch/xil4009/SMG6_RNA_SEQ/fastq_trimmed/fastqc/SRR16684383_trimmed_fastqc/ /athena/angsd/scratch/xil4009/SMG6_RNA_SEQ/fastq_trimmed/fastqc/SRR16684384_trimmed_fastqc/ /athena/angsd/scratch/xil4009/SMG6_RNA_SEQ/fastq_trimmed/fastqc/SRR16684385_trimmed_fastqc/
[2023-02-23 10:53:52,965] multiqc                                            [DEBUG  ]  Latest MultiQC version is v1.14
[2023-02-23 10:53:52,965] multiqc                                            [DEBUG  ]  Working dir : /pbtech_mounts/homes064/xil4009
[2023-02-23 10:53:52,965] multiqc                                            [DEBUG  ]  Template    : default
[2023-02-23 10:53:52,965] multiqc                                            [DEBUG  ]  Running Python 3.10.8 | packaged by conda-forge | (main, Nov 22 2022, 08:26:04) [GCC 10.4.0]
[2023-02-23 10:53:52,965] multiqc                                            [DEBUG  ]  Analysing modules: custom_content, ccs, ngsderive, purple, conpair, lima, peddy, somalier, methylQA, mosdepth, phantompeakqualtools, qualimap, preseq, hifiasm, quast, qorts, rna_seqc, rockhopper, rsem, rseqc, busco, bustools, goleft_indexcov, gffcompare, disambiguate, supernova, deeptools, sargasso, verifybamid, mirtrace, happy, mirtop, sambamba, gopeaks, homer, hops, macs2, theta2, snpeff, gatk, htseq, bcftools, featureCounts, fgbio, dragen, dragen_fastqc, dedup, pbmarkdup, damageprofiler, biobambam2, jcvi, mtnucratio, picard, vep, sentieon, prokka, qc3C, nanostat, samblaster, samtools, sexdeterrmine, eigenstratdatabasetools, bamtools, jellyfish, vcftools, longranger, stacks, varscan2, snippy, umitools, bbmap, bismark, biscuit, diamond, hicexplorer, hicup, hicpro, salmon, kallisto, slamdunk, star, hisat2, tophat, bowtie2, bowtie1, cellranger, snpsplit, odgi, pangolin, nextclade, humid, kat, leehom, adapterRemoval, bbduk, clipandmerge, cutadapt, flexbar, kaiju, kraken, malt, motus, trimmomatic, sickle, skewer, sortmerna, biobloomtools, fastq_screen, afterqc, fastp, fastqc, filtlong, prinseqplusplus, pychopper, porechop, pycoqc, minionqc, anglerfish, multivcfanalyzer, clusterflow, checkqc, bcl2fastq, bclconvert, interop, ivar, flash, seqyclean, optitype, whatshap
[2023-02-23 10:53:52,966] multiqc                                            [DEBUG  ]  Using temporary directory for creating report: /tmp/tmpuzn382l5
[2023-02-23 10:53:53,189] multiqc                                            [INFO   ]  Search path : /athena/angsd/scratch/xil4009/SMG6_RNA_SEQ/fastq_trimmed/fastqc/SRR16684375_trimmed_fastqc
[2023-02-23 10:53:53,189] multiqc                                            [INFO   ]  Search path : /athena/angsd/scratch/xil4009/SMG6_RNA_SEQ/fastq_trimmed/fastqc/SRR16684376_trimmed_fastqc
[2023-02-23 10:53:53,189] multiqc                                            [INFO   ]  Search path : /athena/angsd/scratch/xil4009/SMG6_RNA_SEQ/fastq_trimmed/fastqc/SRR16684377_trimmed_fastqc
